id,scan_time_utc,signal_bar_utc,symbol,confidence,grade,signal_strength,action,summary,technical_score,market_structure_score,funding_oi_score,session_symbol_score,price_at_signal,rsi_15m,adx_4h,atr_15m,sl_price,tp_price,sl_distance_pct,tp_distance_pct,risk_reward,dollar_risk,position_size_1x,leveraged_notional,qty_contracts,session,h4_direction,funding_rate,oi_delta_pct,ob_spread_pct,ob_imbalance_pct,trade_decision,created_at,is_expired,expiry_reason,actual_dollar_risk,leverage,brain_confidence_fused,brain_shadow_mode,calibrated_confidence,information_ratio,margin_required,liquidation_price,maintenance_margin,strategy,tech_raw,struct_raw,ctx_raw,trend_mult,session_mult,symbol_mult,combined_mult,mult_cap_hit,rsi_overbought_long,regime,calibrated_prob,scan_id
30,2026-07-18 02:34:19,2026-07-18 02:15:00,SOLUSDT,67,GOOD,GOOD,,,24,75,75,75,75.30000000,67.37,25.02,0.13571429,74.89290000,75.84290000,0.5406,0.5768,1.07,10.79,1995.45,7981.80,26.5000,asian,UP,-0.0000117700,0.2170,0.0133,8.3103,LONG,2026-07-18 02:29:19.311954,t,Auto-expired: stale (>45min),10.79,4.00,,t,0.5000,,499.96000000,56.81010000,9.9772,trend_following,23.50,75.25,75.00,0.800,1.000,1.450,1.160,f,f,MIXED,0.5000,d737c147-505f-4208-9280-a3df5328ed21
31,2026-07-18 06:08:36,2026-07-18 05:45:00,ETHUSDT,64,FAIR,FAIR,,,36,80,80,50,1846.86000000,60.61,45.88,2.72071429,1838.69790000,1855.02210000,0.4419,0.3536,0.80,8.83,1998.30,7993.21,1.0820,asian,UP,0.0000183000,-7.2600,0.0005,58.9491,LONG,2026-07-18 06:03:36.278997,t,Auto-expired: stale (>45min),8.83,4.00,,t,0.5000,,500.67000000,1393.36350000,9.9915,trend_following,35.75,80.00,50.00,1.200,1.000,0.880,1.060,f,f,MIXED,0.5000,fd64e879-b29e-4b48-a32d-3f0fd54fed2e
32,2026-07-18 07:20:05,2026-07-18 07:00:00,SOLUSDT,53,FAIR,FAIR,,,34,78,78,95,74.91000000,35.79,30.13,0.12285714,75.27860000,74.54140000,0.4921,0.5248,1.07,9.80,1992.61,7970.42,26.6000,london,DOWN,-0.0000117700,-0.0060,0.0133,-18.4531,SHORT,2026-07-18 07:15:05.283945,t,Auto-expired: age exceeded 2h limit,9.80,4.00,,t,0.5000,,499.25000000,93.30420000,9.9630,trend_following,33.50,77.50,95.00,1.000,1.260,1.450,1.200,t,f,MIXED,0.5000,433c55d6-1628-45cd-89b7-0007dd469150
34,2026-07-18 12:11:53,2026-07-18 11:45:00,XRPUSDT,66,GOOD,GOOD,,,27,70,70,95,1.08820000,44.27,28.88,0.00177143,1.09350000,1.08110000,0.4870,0.6525,1.33,9.74,1999.02,7996.09,1837.0000,london,DOWN,-0.0000429600,0.6280,0.0092,-0.8712,SHORT,2026-07-18 12:06:52.991358,t,Auto-expired: stale (>45min),9.74,4.00,,t,0.5000,,500.86000000,1.35540000,9.9951,trend_following,26.50,69.50,95.00,0.800,1.260,1.200,1.200,t,f,MIXED,0.5000,c1a54c67-156e-4406-b49b-b972f32bb82b
33,2026-07-18 12:11:53,2026-07-18 11:45:00,BNBUSDT,78,EXCELLENT,EXCELLENT,,,78,71,71,63,569.70000000,70.21,43.00,0.62857143,567.81430000,572.84290000,0.3310,0.4413,1.33,6.62,1999.65,7998.59,3.5100,london,UP,0.0000137100,-1.3030,0.0176,-13.6943,LONG,2026-07-18 12:06:52.991358,t,Auto-expired: stale (>45min),6.62,4.00,,t,0.5000,,501.01000000,429.81020000,9.9982,trend_following,78.25,71.25,62.50,1.200,1.260,0.550,0.830,f,f,MIXED,0.5000,1b734237-e5f7-4a89-85d2-37e93a54d46b
35,2026-07-18 13:24:01,2026-07-18 13:00:00,BTCUSDT,80,EXCELLENT,EXCELLENT,,,46,80,80,88,63980.40000000,53.01,37.62,62.58571429,64262.03570000,63698.76430000,0.4402,0.5722,1.30,8.73,1983.39,7933.57,0.0310,ny_open,DOWN,0.0000294200,-5.8970,0.0002,-60.3628,SHORT,2026-07-18 13:19:01.696517,t,Auto-expired: stale (>45min),8.73,4.00,,t,0.5000,,496.94000000,79690.78720000,9.9170,trend_following,45.50,80.00,87.50,1.000,1.150,1.420,1.200,t,f,VOLATILE,0.5000,8572049f-3b4b-4e34-8083-1a3a7358a97c
36,2026-07-18 17:51:16,2026-07-18 17:30:00,BTCUSDT,65,GOOD,GOOD,,,24,92,92,80,64322.20000000,67.95,29.23,83.96428571,64070.30710000,64658.05710000,0.3916,0.6788,1.73,7.81,1993.99,7975.95,0.0310,overlap,UP,-0.0000062600,-3.8160,0.0002,71.3545,LONG,2026-07-18 17:46:16.241624,t,Auto-expired: stale (>45min),7.81,4.00,,t,0.5000,,499.59000000,48527.88380000,9.9699,trend_following,23.50,92.00,80.00,0.800,0.820,1.420,0.930,f,f,MIXED,0.5000,ef8d3bc0-969c-48da-8dc1-f8fc95b437d9
37,2026-07-18 18:37:42,2026-07-18 18:15:00,ETHUSDT,61,FAIR,FAIR,,,81,54,54,55,1860.64000000,74.62,44.01,4.58928571,1881.29180000,1839.98820000,1.1099,1.4429,1.30,22.18,1998.33,7993.31,1.0740,overlap,UP,0.0000280700,-0.5410,0.0005,48.5385,SHORT,2026-07-18 18:32:42.688694,t,Auto-expired: stale (>45min),22.18,4.00,,t,0.5000,,500.68000000,2317.52020000,9.9916,mean_reversion,81.25,54.00,55.00,1.200,0.820,0.880,0.870,f,f,VOLATILE,0.5000,54df6731-0209-4039-8d54-8b834d9df26d
38,2026-07-18 19:24:05,2026-07-18 19:00:00,SOLUSDT,77,EXCELLENT,EXCELLENT,,,44,78,78,80,75.27000000,68.00,67.20,0.22071429,74.60790000,76.37360000,0.8796,1.9060,2.17,17.55,1994.65,7978.62,26.5000,overlap,UP,0.0000313700,1.5910,0.0133,19.7042,LONG,2026-07-18 19:19:05.419253,t,Auto-expired: stale (>45min),17.55,4.00,,t,0.5000,,499.76000000,56.78750000,9.9733,trend_following,44.00,77.50,80.00,1.350,0.820,1.450,1.200,t,f,MIXED,0.5000,782308c2-2cbf-4099-8ce9-c4ce92256332
49,2026-07-20 20:36:28,2026-07-20 20:00:00,SOLUSDT,65,GOOD,GOOD,,,31,71,71,85,77.64000000,51.75,31.41,0.30357143,76.88110000,79.91680000,0.9775,2.9325,3.00,212.34,21723.67,86894.69,279.8000,ny_late,UP,0.0000805600,1.3650,0.0129,9.5336,LONG,2026-07-20 20:31:25.693424,t,Auto-expired: stale (>45min),212.34,4.00,,t,0.5000,,5442.87000000,58.57550000,108.6184,trend_following,30.50,71.25,85.00,1.000,0.850,1.450,1.200,t,f,MIXED,0.5000,b30e4a9d-caf1-4c2c-8e90-a90a6016e10e
39,2026-07-18 22:50:06,2026-07-18 22:30:00,XRPUSDT,59,FAIR,FAIR,,,41,59,59,85,1.09160000,53.59,60.35,0.00225714,1.08480000,1.09840000,0.6229,0.6229,1.00,12.46,1999.81,7999.24,1832.0000,ny_late,UP,-0.0000175200,2.1920,0.0092,-28.4851,LONG,2026-07-18 22:45:06.133338,t,Auto-expired: stale (>45min),12.46,4.00,,t,0.5000,,501.05000000,0.82360000,9.9991,trend_following,41.00,59.00,85.00,1.350,0.850,1.200,1.200,t,f,MIXED,0.5000,0705e50d-846f-449e-9a7b-331e294574a1
46,2026-07-20 11:33:40,2026-07-20 09:45:00,ETHUSDT,68,GOOD,GOOD,,,34,81,81,70,1866.48000000,61.17,31.24,6.54714286,1853.38570000,1905.76290000,0.7016,1.6837,2.40,209.51,29863.68,119454.72,16.0000,london,UP,-0.0000076900,0.1590,0.0005,62.8934,LONG,2026-07-20 11:28:37.770062,t,Auto-expired: stale (>45min),209.51,4.00,,t,0.5000,,7482.35000000,1408.16580000,149.3184,trend_following,33.50,80.50,70.00,1.000,1.260,0.880,1.110,f,f,MIXED,0.5000,02d758d6-a0e6-497e-9482-3f3445a5d0ee
40,2026-07-19 02:42:18,2026-07-19 02:15:00,SOLUSDT,63,FAIR,FAIR,,,34,71,71,75,75.97000000,68.64,31.55,0.16500000,75.47500000,76.46500000,0.6516,0.6516,1.00,13.02,1998.01,7992.04,26.3000,asian,UP,0.0000021300,1.5220,0.0132,10.3612,LONG,2026-07-19 02:37:18.143568,t,Auto-expired: stale (>45min),13.02,4.00,,t,0.5000,,500.60000000,57.31560000,9.9901,trend_following,33.50,71.25,75.00,1.000,1.000,1.450,1.200,t,f,MIXED,0.5000,101f6f7f-ddce-4bad-acc4-498639a55e26
41,2026-07-19 09:31:50,2026-07-19 07:30:00,BNBUSDT,50,FAIR,FAIR,,,0,0,0,0,567.30000000,33.33,31.72,0.62857143,565.41430000,569.18570000,0.0000,0.0000,0.00,6.64,0.00,7987.58,3.5200,london,DOWN,0.0000000000,0.0000,0.0000,0.0000,SHORT,2026-07-19 07:49:26.521319,t,Confidence dropped below 50 on reprice,6.64,4.00,,t,0.5000,,0.00000000,,,trend_following,,,,,,,,f,f,,0.5000,
47,2026-07-20 11:49:30,2026-07-20 11:30:00,SOLUSDT,78,EXCELLENT,EXCELLENT,,,30,72,72,95,77.05000000,65.38,27.53,0.29642857,76.30890000,79.27320000,0.9618,2.8854,3.00,383.15,39834.85,159339.40,517.0000,london,UP,-0.0000223200,-2.6790,0.0131,-3.0849,LONG,2026-07-20 11:44:27.773787,t,Auto-expired: stale (>45min),383.15,4.00,,t,0.5000,,9980.62000000,58.13040000,199.1743,trend_following,29.50,71.50,95.00,0.800,1.260,1.450,1.200,t,f,MIXED,0.5000,c8dbef04-0d1c-40a4-a1d4-ed6a98b79065
44,2026-07-19 13:56:44,2026-07-19 13:30:00,BTCUSDT,79,EXCELLENT,EXCELLENT,,,31,81,81,88,64383.80000000,38.87,33.71,109.50000000,64712.30000000,63836.30000000,0.5102,1.1055,2.17,10.18,1995.90,7983.59,0.0310,ny_open,DOWN,0.0001000000,-0.5820,0.0002,-65.6246,SHORT,2026-07-19 13:51:44.757267,t,Auto-expired: stale (>45min),10.18,4.00,,t,0.5000,,500.07000000,80193.24210000,9.9795,trend_following,30.50,80.50,87.50,1.000,1.150,1.420,1.200,t,f,MIXED,0.5000,dfda3604-8e2f-4fed-b99d-a497bb699295
45,2026-07-19 16:00:06,2026-07-19 14:00:00,XRPUSDT,63,FAIR,FAIR,,,39,69,69,88,1.09440000,45.03,26.03,0.00256429,1.08670000,1.10210000,0.7036,0.9147,1.30,180.80,25698.70,102790.43,23481.0000,ny_open,UP,-0.0000067800,0.4200,0.0091,1.9436,LONG,2026-07-19 15:49:34.860716,t,Auto-expired: stale (>45min),180.80,4.00,,t,0.5000,,6438.81000000,0.82570000,128.4935,mean_reversion,38.50,69.00,87.50,0.800,1.150,1.200,1.100,f,f,MIXED,0.5000,2d263bba-a474-42b8-8160-22b726b958b6
48,2026-07-20 18:03:57,2026-07-20 15:45:00,BTCUSDT,51,FAIR,FAIR,,,0,0,0,0,65449.00000000,71.12,19.48,325.67857143,64797.64290000,66914.55360000,0.0000,0.0000,0.00,60.58,0.00,24347.03,0.0930,ny_open,DOWN,0.0000000000,0.0000,0.0000,0.0000,SHORT,2026-07-20 17:58:55.814289,t,Auto-expired by cleanup job,60.58,4.00,,t,0.5000,,0.00000000,,,trend_following,,,,,,,,f,f,,0.5000,
50,2026-07-21 10:10:13,2026-07-21 09:45:00,BTCUSDT,66,GOOD,GOOD,,,41,70,70,95,66307.00000000,78.42,87.02,143.97142857,65947.07140000,67386.78570000,0.5428,1.6285,3.00,213.44,39320.05,157280.20,0.5930,london,UP,0.0000695600,3.4960,0.0002,7.0255,LONG,2026-07-21 10:10:34.350437,t,Auto-expired: stale (>45min),213.44,4.00,,t,0.5000,,9851.64000000,50025.31610000,196.6003,trend_following,41.00,69.75,95.00,1.350,1.260,1.420,1.200,t,f,MIXED,0.5000,311418d9-f145-4c0b-b228-9d5d954d6af5
51,2026-07-21 11:39:43,2026-07-21 11:00:00,ETHUSDT,63,FAIR,FAIR,,,59,60,60,70,1931.31000000,46.49,64.70,5.63214286,1916.66640000,1965.10290000,0.7582,1.7497,2.31,62.13,8194.55,32778.19,4.2430,london,UP,0.0001000000,12.1670,0.0005,9.1356,LONG,2026-07-21 11:34:41.806984,t,Auto-expired: stale (>45min),62.13,4.00,,t,0.5000,,2053.14000000,1457.07680000,40.9727,trend_following,59.00,59.75,70.00,1.350,1.260,0.880,1.200,t,f,TRENDING,0.5000,df05f368-0a92-4c14-a631-ebabb4996c62
