id,run_time,symbol,crowd_ls_ratio,crowd_taker_buy,crowd_vetoed,crowd_veto_reason,cascade_count,cascade_usd,cascade_vetoed,cascade_veto_reason,crowded_symbols
21,2026-07-10 09:49:18.693001,ALL,,,f,,0,0.00,f,,"{BTCUSDT,XRPUSDT}"
22,2026-07-10 10:04:28.140449,ALL,,,f,,0,0.00,f,,"{BTCUSDT,XRPUSDT}"
23,2026-07-10 15:22:49.102146,ALL,,,f,,0,0.00,f,,"{BTCUSDT,ETHUSDT}"
24,2026-07-17 00:35:08.036041,ALL,,,f,,0,0.00,f,,"{SOLUSDT,BTCUSDT}"
25,2026-07-17 00:55:40.729855,ALL,,,f,,0,0.00,f,,"{ETHUSDT,BTCUSDT}"
26,2026-07-17 01:00:48.585817,ALL,,,f,,0,0.00,f,,"{ETHUSDT,BTCUSDT}"
27,2026-07-17 01:05:58.425342,ALL,,,f,,0,0.00,f,,"{ETHUSDT,BTCUSDT}"
28,2026-07-17 01:11:05.955959,ALL,,,f,,0,0.00,f,,"{ETHUSDT,BTCUSDT}"
29,2026-07-17 03:50:34.141745,ALL,,,f,,0,0.00,f,,"{ETHUSDT,XRPUSDT}"
30,2026-07-17 03:55:40.591716,ALL,,,f,,0,0.00,f,,"{ETHUSDT,XRPUSDT}"
31,2026-07-17 04:00:49.518801,ALL,,,f,,0,0.00,f,,"{ETHUSDT,XRPUSDT}"
32,2026-07-17 05:43:45.646763,ALL,,,f,,0,0.00,f,,"{ETHUSDT,BTCUSDT}"
33,2026-07-17 05:48:54.439244,ALL,,,f,,0,0.00,f,,"{ETHUSDT,BTCUSDT}"
34,2026-07-17 05:54:02.058867,ALL,,,f,,0,0.00,f,,"{ETHUSDT,BTCUSDT}"
35,2026-07-17 05:59:11.882463,ALL,,,f,,0,0.00,f,,"{ETHUSDT,BTCUSDT}"
36,2026-07-17 16:15:20.853503,ALL,,,f,,0,0.00,f,,"{ETHUSDT,XRPUSDT}"
37,2026-07-17 16:20:26.310067,ALL,,,f,,0,0.00,f,,"{ETHUSDT,XRPUSDT}"
38,2026-07-17 16:25:31.154884,ALL,,,f,,0,0.00,f,,"{ETHUSDT,XRPUSDT}"
39,2026-07-17 16:30:36.554165,ALL,,,f,,0,0.00,f,,"{ETHUSDT,XRPUSDT}"
40,2026-07-17 17:31:31.022161,ALL,,,f,,0,0.00,f,,"{ETHUSDT,SOLUSDT}"
41,2026-07-17 17:36:34.619041,ALL,,,f,,0,0.00,f,,"{ETHUSDT,SOLUSDT}"
42,2026-07-17 17:41:39.150074,ALL,,,f,,0,0.00,f,,"{ETHUSDT,SOLUSDT}"
43,2026-07-17 17:46:43.723496,ALL,,,f,,0,0.00,f,,"{ETHUSDT,SOLUSDT}"
44,2026-07-18 20:15:40.474683,ALL,,,f,,0,0.00,f,,"{XRPUSDT,BTCUSDT}"
45,2026-07-18 20:20:48.37808,ALL,,,f,,0,0.00,f,,"{XRPUSDT,BTCUSDT}"
46,2026-07-18 20:25:57.735025,ALL,,,f,,0,0.00,f,,"{XRPUSDT,BTCUSDT}"
47,2026-07-18 20:31:06.94132,ALL,,,f,,0,0.00,f,,"{XRPUSDT,BTCUSDT}"
48,2026-07-18 20:36:15.777882,ALL,,,f,,0,0.00,f,,"{XRPUSDT,BTCUSDT}"
49,2026-07-18 22:19:11.703087,ALL,,,f,,0,0.00,f,,"{XRPUSDT,BTCUSDT}"
50,2026-07-18 23:05:36.273675,ALL,,,f,,0,0.00,f,,"{ETHUSDT,XRPUSDT,BTCUSDT}"
51,2026-07-18 23:10:44.329014,ALL,,,f,,0,0.00,f,,"{ETHUSDT,XRPUSDT,BTCUSDT}"
52,2026-07-18 23:15:53.25669,ALL,,,f,,0,0.00,f,,"{ETHUSDT,XRPUSDT,BTCUSDT}"
53,2026-07-18 23:21:03.111687,ALL,,,f,,0,0.00,f,,"{ETHUSDT,XRPUSDT,BTCUSDT}"
54,2026-07-20 14:01:51.249668,ALL,,,f,,0,0.00,f,,"{BTCUSDT,SOLUSDT}"
55,2026-07-21 03:55:11.732585,ALL,,,f,,0,0.00,f,,"{BTCUSDT,SOLUSDT}"
56,2026-07-21 12:16:47.912735,ALL,,,f,,0,0.00,f,,"{ETHUSDT,BTCUSDT}"
57,2026-07-21 12:22:05.778349,ALL,,,f,,0,0.00,f,,"{ETHUSDT,BTCUSDT}"
58,2026-07-21 12:27:27.138282,ALL,,,f,,0,0.00,f,,"{ETHUSDT,BTCUSDT}"
59,2026-07-21 12:32:45.01633,ALL,,,f,,0,0.00,f,,"{ETHUSDT,BTCUSDT}"
