id,signal_id,symbol,signal_bar_utc,first_seen_utc,last_updated_utc,current_dqs,current_ranker_score,current_entry,current_sl,current_tp,risk_pct,prev_dqs,prev_ranker_score,dqs_delta,consecutive_improvements,consecutive_declines,runs_tracked,trajectory_bonus,adjusted_score,status,expiry_reason,created_at,updated_at,side,strategy,session
1111,,SOLUSDT,2026-07-21 07:45:00,2026-07-21 08:04:01.085849,2026-07-21 09:01:54.423621,81,81,78.59000000,78.02750000,80.27750000,12.50,81,81,0,1,0,12,0,81,EXPIRED,Auto-expired by cleanup job,2026-07-21 08:04:14.147062,2026-07-21 11:03:01.641031,LONG,trend_following,london
924,,BTCUSDT,2026-07-20 12:15:00,2026-07-20 12:47:46.844222,2026-07-20 13:45:58.039268,59,59,64700.10000000,64265.11790000,65744.05712000,0.60,59,59,0,0,0,12,0,59,EXPIRED,Replaced by newer signal_bar,2026-07-20 12:48:00.974863,2026-07-20 13:51:31.850175,LONG,trend_following,overlap
965,48,BTCUSDT,2026-07-20 15:45:00,2026-07-20 12:47:46.844222,2026-07-20 17:06:17.029418,69,69,65318.10000000,64589.76070000,68158.62327000,2.10,69,69,0,1,0,36,0,69,EXPIRED,Auto-expired by cleanup job,2026-07-20 16:13:47.985198,2026-07-20 19:07:05.730834,LONG,trend_following,ny_open
1211,,BTCUSDT,2026-07-21 12:00:00,2026-07-21 10:10:13.119866,2026-07-21 13:09:54.713268,57,57,66386.10000000,66102.88570000,67065.81432000,0.60,57,57,0,1,0,23,-10,47,ACTIVE,,2026-07-21 12:38:19.041234,2026-07-21 13:10:29.238923,LONG,trend_following,overlap
1099,,XRPUSDT,2026-07-21 06:45:00,2026-07-21 03:49:54.763857,2026-07-21 07:58:44.107844,100,100,1.13490000,1.14850000,1.10227000,0.00,100,100,0,2,0,37,0,100,EXPIRED,Replaced by newer signal_bar,2026-07-21 07:00:49.476408,2026-07-21 08:04:14.173735,SHORT,mean_reversion,asian
1012,,XRPUSDT,2026-07-20 20:00:00,2026-07-20 18:19:45.693941,2026-07-20 21:24:00.686342,85,85,1.11400000,1.12310000,1.09210000,0.00,85,85,0,0,1,36,0,85,EXPIRED,Replaced by newer signal_bar,2026-07-20 20:26:10.753598,2026-07-20 21:29:32.2031,SHORT,trend_following,ny_late
937,,ETHUSDT,2026-07-20 13:30:00,2026-07-20 13:51:16.40284,2026-07-20 13:56:34.05884,61,61,1876.00000000,1859.23290000,1926.30140000,0.60,61,61,0,0,0,2,0,61,EXPIRED,Auto-expired by cleanup job,2026-07-20 13:51:31.880889,2026-07-20 15:57:47.832179,LONG,trend_following,ny_open
936,,BTCUSDT,2026-07-20 13:30:00,2026-07-20 12:47:46.844222,2026-07-20 14:54:31.556777,62,62,64646.30000000,63995.41790000,66148.33570000,0.60,62,62,0,0,1,25,0,62,EXPIRED,Replaced by newer signal_bar,2026-07-20 13:51:31.850175,2026-07-20 16:13:47.985198,LONG,trend_following,ny_open
1147,,XRPUSDT,2026-07-21 08:45:00,2026-07-21 03:49:54.763857,2026-07-21 10:04:56.192855,85,85,1.13290000,1.14180000,1.11160000,0.00,85,85,0,0,1,58,0,85,EXPIRED,Replaced by newer signal_bar,2026-07-21 09:23:06.671192,2026-07-21 11:18:57.316158,SHORT,trend_following,london
1050,,XRPUSDT,2026-07-21 03:30:00,2026-07-21 03:49:54.763857,2026-07-21 04:48:05.473855,94,94,1.12280000,1.10870000,1.14090000,0.00,94,94,0,1,0,12,0,94,EXPIRED,Replaced by newer signal_bar,2026-07-21 03:50:08.805445,2026-07-21 05:51:56.65763,LONG,trend_following,asian
1051,,BNBUSDT,2026-07-21 03:30:00,2026-07-21 03:49:54.763857,2026-07-21 04:48:05.473855,52,52,574.30000000,572.04290000,579.94290000,0.60,52,52,0,1,0,12,0,52,EXPIRED,Auto-expired by cleanup job,2026-07-21 03:50:08.816915,2026-07-21 06:50:04.061662,LONG,trend_following,asian
1156,,BTCUSDT,2026-07-21 09:45:00,2026-07-21 10:10:13.119866,2026-07-21 11:13:29.775318,69,69,66307.00000000,65947.07140000,67386.78570000,2.10,69,69,0,1,0,12,0,69,EXPIRED,Replaced by newer signal_bar,2026-07-21 10:10:34.127837,2026-07-21 12:17:03.47119,LONG,trend_following,london
1052,,BTCUSDT,2026-07-21 03:15:00,2026-07-21 03:55:11.732585,2026-07-21 03:55:11.732585,57,57,65450.00000000,65062.28570000,66613.14290000,0.60,,,0,0,0,1,0,57,EXPIRED,Auto-expired by cleanup job,2026-07-21 03:55:25.042599,2026-07-21 05:57:02.935268,LONG,trend_following,asian
988,,XRPUSDT,2026-07-20 18:00:00,2026-07-20 18:19:45.693941,2026-07-20 19:17:35.036616,100,100,1.11800000,1.12990000,1.08069000,0.00,100,100,0,0,0,12,0,100,EXPIRED,Replaced by newer signal_bar,2026-07-20 18:19:57.453336,2026-07-20 19:23:02.564999,SHORT,mean_reversion,overlap
938,,SOLUSDT,2026-07-20 13:30:00,2026-07-20 11:38:58.99452,2026-07-20 14:54:31.556777,77,77,76.91000000,76.14570000,79.20290000,7.50,77,77,0,0,2,26,-10,67,EXPIRED,DQS declined 2 consecutive runs,2026-07-20 13:51:31.906673,2026-07-20 14:54:46.823144,LONG,trend_following,ny_open
902,,SOLUSDT,2026-07-20 11:30:00,2026-07-20 11:38:58.99452,2026-07-20 12:42:28.762414,85,85,77.05000000,76.30890000,79.27320000,0.00,85,85,0,1,0,13,0,85,EXPIRED,Replaced by newer signal_bar,2026-07-20 11:44:27.539909,2026-07-20 13:51:31.906673,LONG,trend_following,london
1013,,SOLUSDT,2026-07-20 20:00:00,2026-07-20 20:31:12.562116,2026-07-20 21:24:00.686342,65,65,77.64000000,76.88110000,79.91680000,2.10,65,65,0,0,0,11,0,65,EXPIRED,Replaced by newer signal_bar,2026-07-20 20:31:25.473863,2026-07-20 21:29:32.179669,LONG,trend_following,ny_late
1157,,BNBUSDT,2026-07-21 10:00:00,2026-07-21 08:04:01.085849,2026-07-21 11:13:29.775318,79,79,579.20000000,581.34290000,572.23577000,22.50,79,79,0,2,0,24,0,79,ACTIVE,,2026-07-21 10:10:34.14927,2026-07-21 11:13:43.135147,SHORT,mean_reversion,london
907,,XRPUSDT,2026-07-20 11:45:00,2026-07-20 11:17:58.460656,2026-07-20 12:42:28.762414,99,99,1.10470000,1.09560000,1.12640000,0.00,99,99,0,0,1,15,0,99,EXPIRED,Auto-expired by cleanup job,2026-07-20 12:00:22.608685,2026-07-20 14:44:03.464856,LONG,trend_following,london
1036,,XRPUSDT,2026-07-20 21:00:00,2026-07-20 18:19:45.693941,2026-07-20 22:27:25.976358,81,81,1.11800000,1.12780000,1.09450000,12.50,81,81,0,0,3,48,-10,71,EXPIRED,DQS declined 3 consecutive runs,2026-07-20 21:29:32.2031,2026-07-20 22:27:39.708154,SHORT,trend_following,ny_late
1035,,SOLUSDT,2026-07-20 21:00:00,2026-07-20 20:31:12.562116,2026-07-20 21:29:17.750744,59,59,77.93000000,77.17290000,80.20140000,0.60,65,65,-6,0,1,12,0,59,EXPIRED,Auto-expired by cleanup job,2026-07-20 21:29:32.179669,2026-07-20 23:30:43.830241,LONG,trend_following,ny_late
1076,,XRPUSDT,2026-07-21 05:30:00,2026-07-21 03:49:54.763857,2026-07-21 06:55:17.178142,94,94,1.12840000,1.14320000,1.09291000,0.00,94,94,0,1,0,25,0,94,EXPIRED,Replaced by newer signal_bar,2026-07-21 05:51:56.65763,2026-07-21 07:00:49.476408,SHORT,mean_reversion,asian
1180,,ETHUSDT,2026-07-21 11:00:00,2026-07-21 11:18:44.931714,2026-07-21 12:11:29.010132,63,63,1931.31000000,1916.66640000,1965.10290000,0.60,63,63,0,2,0,11,0,63,EXPIRED,Replaced by newer signal_bar,2026-07-21 11:18:57.297196,2026-07-21 12:17:03.495992,LONG,trend_following,london
1181,,XRPUSDT,2026-07-21 11:00:00,2026-07-21 03:49:54.763857,2026-07-21 12:11:29.010132,85,85,1.12950000,1.13620000,1.11662000,0.00,85,85,0,0,1,69,0,85,EXPIRED,Replaced by newer signal_bar,2026-07-21 11:18:57.316158,2026-07-21 12:17:03.515132,SHORT,trend_following,london
