id,symbol,side,status,confidence,entry_price_actual,sl_price,tp_price,qty_contracts,paper_pnl_usd,paper_pnl_pct,paper_exit_reason,bybit_order_id,bybit_qty,bybit_entry_price,bybit_sl_price,bybit_tp_price,bybit_status,bybit_close_price,bybit_pnl_usd,bybit_pnl_pct,bybit_close_reason,bybit_account_balance,bybit_risk_pct,bybit_dollar_risk
29,ETHUSDT,SHORT,CLOSED,72,1807.56000000,1837.23110000,1777.88890000,1.1060,-36.43,-7.2738,SL_HIT,,,,,,PENDING,,,,,,,
30,SOLUSDT,LONG,CLOSED,67,75.30000000,74.89290000,75.84290000,26.5000,-13.15,-2.6298,SL_HIT,,,,,,PENDING,,,,,,,
31,ETHUSDT,LONG,CLOSED,64,1846.86000000,1838.69790000,1855.02210000,1.0820,-11.24,-2.2451,SL_HIT,,,,,,PENDING,,,,,,,
32,SOLUSDT,SHORT,CLOSED,53,74.91000000,75.13473000,74.54140000,26.6000,7.59,1.5193,TP_HIT,,,,,,PENDING,,,,,,,
33,BNBUSDT,LONG,CLOSED,78,569.70000000,567.99090000,572.84290000,3.5100,-8.92,-1.7804,SL_HIT,,,,,,PENDING,,,,,,,
34,XRPUSDT,SHORT,CLOSED,66,1.08820000,1.09350000,1.08110000,1837.0000,-12.57,-2.5088,SL_HIT,,,,,,PENDING,,,,,,,
35,BTCUSDT,SHORT,CLOSED,80,63980.40000000,64262.03570000,63698.76430000,0.0310,-11.30,-2.2748,SL_HIT,,,,,,PENDING,,,,,,,
36,BTCUSDT,LONG,CLOSED,65,64322.20000000,64129.23340000,64658.05710000,0.0310,9.03,1.8071,TP_HIT,,,,,,PENDING,,,,,,,
37,ETHUSDT,SHORT,CLOSED,61,1860.64000000,1881.29180000,1839.98820000,1.0740,-18.53,-3.7004,TIME_EXIT,,,,,,PENDING,,,,,,,
38,SOLUSDT,LONG,CLOSED,77,75.27000000,75.04419000,76.37360000,26.5000,27.28,5.4590,TP_HIT,,,,,,PENDING,,,,,,,
39,XRPUSDT,LONG,CLOSED,59,1.09160000,1.08832520,1.09840000,1832.0000,10.08,2.0109,TP_HIT,,,,,,PENDING,,,,,,,
40,SOLUSDT,LONG,CLOSED,63,75.97000000,75.74209000,76.46500000,26.3000,0.69,0.1386,TIME_EXIT,,,,,,PENDING,,,,,,,
41,BNBUSDT,LONG,CLOSED,61,569.20000000,567.44290000,570.95710000,3.5100,-8.63,-1.7232,SL_HIT,,,,,,PENDING,,,,,,,
42,BNBUSDT,LONG,EXPIRED,61,,567.44290000,570.60568000,0.0000,,,,,,,,,PENDING,,,,,,,
43,BNBUSDT,LONG,CLOSED,50,567.30000000,565.59810000,569.18570000,3.5200,6.60,1.3189,TP_HIT,,,,,,PENDING,,,,,,,
44,BTCUSDT,SHORT,CLOSED,79,64383.80000000,64712.30000000,63836.30000000,0.0310,-4.10,-0.8194,TIME_EXIT,,,,,,PENDING,,,,,,,
45,XRPUSDT,LONG,CLOSED,63,1.09440000,1.08670000,1.10210000,23481.0000,-48.26,-0.7496,TIME_EXIT,,,,,,PENDING,,,,,,,
46,ETHUSDT,LONG,CLOSED,68,1866.48000000,1860.88056000,1905.76290000,16.0000,611.56,8.1734,TP_HIT,8e456ff0-d6d9-43ad-81b6-67c718b4c37c,80.34,1866.48,1853.3857,1905.7629,CLOSED,1884.51,1448.5302,2.8915,SL/TP,50095.54,2.1,1052
47,SOLUSDT,LONG,CLOSED,78,77.05000000,76.30890000,79.27320000,517.0000,-469.74,-4.7065,SL_HIT,c70ec432-b49e-4227-98ed-e25060039d66,2596.3,77.05,76.3089,79.2732,CLOSED,77.11,155.778,0.3115,SL/TP,50012.27,7.5,1924.12
48,BTCUSDT,LONG,CLOSED,51,65449.00000000,64797.64290000,66914.55360000,0.0930,63.47,4.1621,TIME_EXIT,e053359e-fc84-440a-89e1-b7056367d925,0.415,65449,64797.6429,66914.5536,CLOSED,65449,0,0,SL/TP,45093.67,0.6,270.31
49,SOLUSDT,LONG,CLOSED,65,77.64000000,76.88110000,79.91680000,279.8000,173.97,3.1964,TIME_EXIT,80a15f70-f06d-4192-a505-590aba096e5a,1247.4,77.64,76.8811,79.9168,CLOSED,78.01,461.538,1.0238,SL/TP,45078.7,2.1,946.65
50,BTCUSDT,LONG,OPEN,66,66307.00000000,65947.07140000,67386.78570000,0.5930,,,,,,,,,PENDING,,,,,,,
51,ETHUSDT,LONG,OPEN,63,1931.31000000,1916.66640000,1965.10290000,4.2430,,,,,,,,,PENDING,,,,,,,
