id,run_time,status,abort_reason,duration_ms,signals_scanned,signals_approved,node_summary,created_at
27,2026-07-15 09:14:00.961203+00,ABORTED,pre_flight_failed,77,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 09:14:00.961432+00
28,2026-07-15 09:19:01.074894+00,ABORTED,pre_flight_failed,82,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 09:19:01.07506+00
29,2026-07-15 09:24:01.192892+00,ABORTED,pre_flight_failed,88,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 09:24:01.193013+00
30,2026-07-15 09:29:01.302617+00,ABORTED,pre_flight_failed,78,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 09:29:01.302741+00
31,2026-07-15 09:34:01.410044+00,ABORTED,pre_flight_failed,78,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 09:34:01.410192+00
32,2026-07-15 09:39:01.527989+00,ABORTED,pre_flight_failed,85,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 09:39:01.528147+00
33,2026-07-15 09:44:01.644886+00,ABORTED,pre_flight_failed,84,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 09:44:01.64501+00
34,2026-07-15 09:49:01.755924+00,ABORTED,pre_flight_failed,80,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 09:49:01.756122+00
35,2026-07-15 09:54:01.867124+00,ABORTED,pre_flight_failed,82,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 09:54:01.867314+00
36,2026-07-15 09:59:01.989008+00,ABORTED,pre_flight_failed,91,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 09:59:01.989161+00
37,2026-07-15 10:04:02.109445+00,ABORTED,pre_flight_failed,89,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 10:04:02.109569+00
38,2026-07-15 10:09:02.225263+00,ABORTED,pre_flight_failed,85,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 10:09:02.225402+00
39,2026-07-15 10:14:02.338852+00,ABORTED,pre_flight_failed,83,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 10:14:02.33899+00
40,2026-07-15 10:19:02.459063+00,ABORTED,pre_flight_failed,87,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 10:19:02.45923+00
41,2026-07-15 10:24:02.575313+00,ABORTED,pre_flight_failed,85,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 10:24:02.575481+00
42,2026-07-15 10:29:02.695188+00,ABORTED,pre_flight_failed,88,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 10:29:02.695385+00
43,2026-07-15 10:34:02.812509+00,ABORTED,pre_flight_failed,85,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 10:34:02.812633+00
44,2026-07-15 10:39:02.925628+00,ABORTED,pre_flight_failed,82,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 10:39:02.925751+00
45,2026-07-15 10:44:03.051181+00,ABORTED,pre_flight_failed,95,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 10:44:03.051361+00
46,2026-07-15 10:49:03.173646+00,ABORTED,pre_flight_failed,91,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 10:49:03.173773+00
47,2026-07-15 10:54:03.294965+00,ABORTED,pre_flight_failed,86,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 10:54:03.295114+00
48,2026-07-15 10:59:03.413318+00,ABORTED,pre_flight_failed,86,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 10:59:03.413484+00
49,2026-07-15 11:04:03.525854+00,ABORTED,pre_flight_failed,81,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 11:04:03.526021+00
50,2026-07-15 11:09:03.643932+00,ABORTED,pre_flight_failed,88,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 11:09:03.644082+00
51,2026-07-15 11:14:03.763932+00,ABORTED,pre_flight_failed,88,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 11:14:03.764083+00
52,2026-07-15 11:19:03.884971+00,ABORTED,pre_flight_failed,90,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 11:19:03.885122+00
53,2026-07-15 11:24:04.003131+00,ABORTED,pre_flight_failed,85,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 11:24:04.003351+00
54,2026-07-15 11:29:04.116778+00,ABORTED,pre_flight_failed,83,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 11:29:04.116969+00
55,2026-07-15 11:34:04.236091+00,ABORTED,pre_flight_failed,87,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 11:34:04.23626+00
56,2026-07-15 11:39:04.35306+00,ABORTED,pre_flight_failed,85,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 11:39:04.353247+00
57,2026-07-15 11:44:04.477247+00,ABORTED,pre_flight_failed,90,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 11:44:04.477378+00
58,2026-07-15 11:49:04.602276+00,ABORTED,pre_flight_failed,88,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 11:49:04.602426+00
59,2026-07-15 11:54:04.713796+00,ABORTED,pre_flight_failed,78,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 11:54:04.713927+00
60,2026-07-15 11:59:04.844821+00,ABORTED,pre_flight_failed,97,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 11:59:04.844956+00
61,2026-07-15 12:04:04.993954+00,ABORTED,pre_flight_failed,111,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 12:04:04.99413+00
62,2026-07-15 12:09:05.120886+00,ABORTED,pre_flight_failed,94,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 12:09:05.12108+00
63,2026-07-15 12:14:05.243853+00,ABORTED,pre_flight_failed,93,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 12:14:05.244048+00
64,2026-07-15 12:19:05.362176+00,ABORTED,pre_flight_failed,86,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 12:19:05.362398+00
65,2026-07-15 12:24:05.476979+00,ABORTED,pre_flight_failed,84,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 12:24:05.477133+00
66,2026-07-15 12:29:05.594897+00,ABORTED,pre_flight_failed,87,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 12:29:05.595017+00
67,2026-07-15 12:34:05.703162+00,ABORTED,pre_flight_failed,77,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 12:34:05.703333+00
68,2026-07-15 12:39:05.817442+00,ABORTED,pre_flight_failed,84,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 12:39:05.817565+00
69,2026-07-15 12:44:05.936404+00,ABORTED,pre_flight_failed,89,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 12:44:05.936526+00
70,2026-07-15 12:49:06.059707+00,ABORTED,pre_flight_failed,92,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 12:49:06.060246+00
71,2026-07-15 12:54:06.173565+00,ABORTED,pre_flight_failed,82,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 12:54:06.173732+00
72,2026-07-15 12:59:06.283169+00,ABORTED,pre_flight_failed,79,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 12:59:06.283345+00
73,2026-07-15 13:04:06.398266+00,ABORTED,pre_flight_failed,85,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 13:04:06.398439+00
74,2026-07-15 13:09:06.51714+00,ABORTED,pre_flight_failed,89,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 13:09:06.51731+00
75,2026-07-15 13:14:06.63763+00,ABORTED,pre_flight_failed,89,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 13:14:06.637797+00
76,2026-07-15 13:19:06.759044+00,ABORTED,pre_flight_failed,89,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 13:19:06.759216+00
77,2026-07-15 13:24:06.875432+00,ABORTED,pre_flight_failed,80,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 13:24:06.875602+00
78,2026-07-15 13:29:06.992681+00,ABORTED,pre_flight_failed,87,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 13:29:06.992875+00
79,2026-07-15 13:34:07.117501+00,ABORTED,pre_flight_failed,93,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 13:34:07.117667+00
80,2026-07-15 13:39:07.238451+00,ABORTED,pre_flight_failed,89,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 13:39:07.23857+00
81,2026-07-15 13:44:07.349664+00,ABORTED,pre_flight_failed,79,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 13:44:07.349861+00
82,2026-07-15 13:49:07.474412+00,ABORTED,pre_flight_failed,95,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 13:49:07.474607+00
83,2026-07-15 13:54:07.585047+00,ABORTED,pre_flight_failed,78,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 13:54:07.585201+00
84,2026-07-15 13:59:07.695978+00,ABORTED,pre_flight_failed,81,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 13:59:07.696133+00
85,2026-07-15 14:04:07.823154+00,ABORTED,pre_flight_failed,96,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 14:04:07.823292+00
86,2026-07-15 14:09:07.965988+00,ABORTED,pre_flight_failed,98,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 14:09:07.966164+00
87,2026-07-15 14:14:08.082934+00,ABORTED,pre_flight_failed,85,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 14:14:08.083087+00
88,2026-07-15 14:19:08.200532+00,ABORTED,pre_flight_failed,86,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 14:19:08.200727+00
89,2026-07-15 14:24:08.312128+00,ABORTED,pre_flight_failed,81,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 14:24:08.312307+00
90,2026-07-15 14:29:08.429432+00,ABORTED,pre_flight_failed,88,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 14:29:08.429554+00
91,2026-07-15 14:34:08.54645+00,ABORTED,pre_flight_failed,85,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 14:34:08.546617+00
92,2026-07-15 14:39:08.656446+00,ABORTED,pre_flight_failed,78,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 14:39:08.656616+00
93,2026-07-15 14:44:08.775283+00,ABORTED,pre_flight_failed,90,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 14:44:08.77542+00
94,2026-07-15 14:49:08.884766+00,ABORTED,pre_flight_failed,78,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 14:49:08.884926+00
95,2026-07-15 14:54:09.001126+00,ABORTED,pre_flight_failed,86,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 14:54:09.001338+00
96,2026-07-15 14:59:09.129005+00,ABORTED,pre_flight_failed,94,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 14:59:09.129198+00
97,2026-07-15 15:04:09.253154+00,ABORTED,pre_flight_failed,89,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 15:04:09.253362+00
98,2026-07-15 15:09:09.372429+00,ABORTED,pre_flight_failed,88,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 15:09:09.372545+00
99,2026-07-15 15:14:09.492457+00,ABORTED,pre_flight_failed,88,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 15:14:09.492624+00
100,2026-07-15 15:19:09.603972+00,ABORTED,pre_flight_failed,80,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 15:19:09.604126+00
101,2026-07-15 15:24:09.716462+00,ABORTED,pre_flight_failed,82,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 15:24:09.716629+00
102,2026-07-15 15:29:09.839404+00,ABORTED,pre_flight_failed,93,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 15:29:09.839518+00
103,2026-07-15 15:34:09.9557+00,ABORTED,pre_flight_failed,84,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 15:34:09.95582+00
104,2026-07-15 15:39:10.072299+00,ABORTED,pre_flight_failed,86,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 15:39:10.072469+00
105,2026-07-15 15:44:10.192174+00,ABORTED,pre_flight_failed,88,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 15:44:10.19237+00
106,2026-07-15 15:49:10.30943+00,ABORTED,pre_flight_failed,86,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 15:49:10.30955+00
107,2026-07-15 15:54:10.431326+00,ABORTED,pre_flight_failed,86,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 15:54:10.431486+00
108,2026-07-15 15:59:10.545823+00,ABORTED,pre_flight_failed,81,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 15:59:10.545994+00
109,2026-07-15 16:04:10.656184+00,ABORTED,pre_flight_failed,80,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 16:04:10.656365+00
110,2026-07-15 16:09:10.770907+00,ABORTED,pre_flight_failed,85,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 16:09:10.771061+00
111,2026-07-15 16:14:10.8891+00,ABORTED,pre_flight_failed,86,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 16:14:10.889284+00
112,2026-07-15 16:19:10.999272+00,ABORTED,pre_flight_failed,78,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 16:19:10.99944+00
113,2026-07-15 16:24:11.117814+00,ABORTED,pre_flight_failed,89,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 16:24:11.117981+00
114,2026-07-15 16:29:11.241112+00,ABORTED,pre_flight_failed,91,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 16:29:11.241294+00
115,2026-07-15 16:34:11.352106+00,ABORTED,pre_flight_failed,78,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 16:34:11.352259+00
116,2026-07-15 16:39:11.46744+00,ABORTED,pre_flight_failed,86,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 16:39:11.467563+00
117,2026-07-15 16:44:11.582614+00,ABORTED,pre_flight_failed,85,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 16:44:11.582737+00
118,2026-07-15 16:49:11.703101+00,ABORTED,pre_flight_failed,89,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 16:49:11.703276+00
119,2026-07-15 16:54:11.821898+00,ABORTED,pre_flight_failed,86,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 16:54:11.822051+00
120,2026-07-15 16:59:11.934816+00,ABORTED,pre_flight_failed,79,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 16:59:11.935005+00
121,2026-07-15 17:04:12.050057+00,ABORTED,pre_flight_failed,85,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 17:04:12.050202+00
122,2026-07-15 17:09:12.173022+00,ABORTED,pre_flight_failed,91,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 17:09:12.17317+00
123,2026-07-15 17:14:12.288148+00,ABORTED,pre_flight_failed,83,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 17:14:12.288337+00
