id,run_time,pipeline_run_id,symbol,scan_id,live_dqs,live_side,live_strategy,live_session,live_tech_raw,live_struct_raw,live_ctx_raw,live_decision,shadow_dqs_empirical,shadow_dqs_delta,shadow_kelly_mult,shadow_kelly_vetoed,shadow_crowded,shadow_crowd_penalty,shadow_cascade_vetoed,shadow_cascade_reason,shadow_crowd_vetoed,shadow_crowd_ls_ratio,shadow_dqs85_vetoed,shadow_decision,shadow_dqs_final,shadow_position_mult,data_quality_score,data_quality_gated,breakdown,actual_pnl,actual_outcome,resolved_at
24,2026-07-04 23:52:27.917207,2026-07-04T23:52:27.917207+00:00,ETHUSDT,d2a58e22-9325-4dc6-9a54-24d0ceaaa72e,61.04,SHORT,trend_following,ny_late,35.75,80.50,60.00,APPROVED,46.56,-14.48,1.00,f,f,0.00,f,,f,,f,SAME,61.04,1.00,84.97,f,"{""kelly"": {""mult"": 1.0, ""vetoed"": false}, ""crowding"": {""detail"": {""cluster_size"": 0}, ""crowded_symbols"": []}, ""data_quality"": {""gated"": false, ""score"": 84.97, ""outlier"": 100.0, ""freshness"": 62.42, ""completeness"": 100.0}, ""current_weights"": {""context"": 0.3, ""structure"": 0.3, ""technical"": 0.4}, ""empirical_weights"": {""context"": 0.2, ""structure"": 0.07, ""technical"": 0.73}}",,,
25,2026-07-04 23:52:27.917207,2026-07-04T23:52:27.917207+00:00,SOLUSDT,4633af37-38ae-4dfc-9f25-c025d1ce427b,68.95,LONG,trend_following,ny_late,38.50,59.50,85.00,APPROVED,33.88,-35.07,0.23,f,f,0.00,f,,f,,f,REDUCED,68.95,0.23,84.97,f,"{""kelly"": {""mult"": 0.23, ""vetoed"": false}, ""crowding"": {""detail"": {""cluster_size"": 0}, ""crowded_symbols"": []}, ""data_quality"": {""gated"": false, ""score"": 84.97, ""outlier"": 100.0, ""freshness"": 62.42, ""completeness"": 100.0}, ""current_weights"": {""context"": 0.3, ""structure"": 0.3, ""technical"": 0.4}, ""empirical_weights"": {""context"": 0.2, ""structure"": 0.07, ""technical"": 0.73}}",,,
26,2026-07-05 00:07:34.646992,2026-07-05T00:07:34.646992+00:00,SOLUSDT,04e5ff70-f811-486c-8348-15f5a534704b,68.95,LONG,trend_following,ny_late,38.50,59.50,85.00,APPROVED,33.88,-35.07,0.23,f,f,0.00,f,,f,,f,REDUCED,68.95,0.23,84.90,f,"{""kelly"": {""mult"": 0.23, ""vetoed"": false}, ""crowding"": {""detail"": {}, ""crowded_symbols"": []}, ""data_quality"": {""gated"": false, ""score"": 84.9, ""outlier"": 100.0, ""freshness"": 62.24, ""completeness"": 100.0}, ""current_weights"": {""context"": 0.3, ""structure"": 0.3, ""technical"": 0.4}, ""empirical_weights"": {""context"": 0.2, ""structure"": 0.07, ""technical"": 0.73}}",,,
27,2026-07-05 00:22:40.468263,2026-07-05T00:22:40.468263+00:00,ETHUSDT,353de35e-0b88-4c55-a6b3-f9c6f5e258c9,61.25,SHORT,trend_following,asian,35.75,76.50,50.00,APPROVED,52.42,-8.83,1.00,f,f,0.00,f,,f,,f,SAME,61.25,1.00,84.82,f,"{""kelly"": {""mult"": 1.0, ""vetoed"": false}, ""crowding"": {""detail"": {}, ""crowded_symbols"": []}, ""data_quality"": {""gated"": false, ""score"": 84.82, ""outlier"": 100.0, ""freshness"": 62.05, ""completeness"": 100.0}, ""current_weights"": {""context"": 0.3, ""structure"": 0.3, ""technical"": 0.4}, ""empirical_weights"": {""context"": 0.2, ""structure"": 0.07, ""technical"": 0.73}}",,,
18,2026-07-04 21:21:21.973658,2026-07-04T21:21:21.973658+00:00,SOLUSDT,e0b4ba83-4547-4893-88e8-573a9f153278,78.88,LONG,trend_following,ny_late,48.50,59.50,85.00,APPROVED,51.05,-27.83,2.00,f,f,0.00,f,,f,,f,BOOSTED,78.88,2.00,85.69,f,"{""kelly"": {""mult"": 2.0, ""vetoed"": false}, ""crowding"": {""detail"": {}, ""crowded_symbols"": []}, ""data_quality"": {""gated"": false, ""score"": 85.69, ""outlier"": 100.0, ""freshness"": 64.23, ""completeness"": 100.0}, ""current_weights"": {""context"": 0.3, ""structure"": 0.3, ""technical"": 0.4}, ""empirical_weights"": {""context"": 0.2, ""structure"": 0.07, ""technical"": 0.73}}",-23.85,f,2026-07-05 00:37:46.603748
28,2026-07-05 00:37:46.507357,2026-07-05T00:37:46.507357+00:00,ETHUSDT,18a1dfc8-6477-436f-948b-84b4870f09c9,61.25,SHORT,trend_following,asian,35.75,76.50,50.00,APPROVED,52.42,-8.83,1.00,f,f,0.00,f,,f,,f,SAME,61.25,1.00,74.76,f,"{""kelly"": {""mult"": 1.0, ""vetoed"": false}, ""crowding"": {""detail"": {}, ""crowded_symbols"": []}, ""data_quality"": {""gated"": false, ""score"": 74.76, ""outlier"": 100.0, ""freshness"": 36.9, ""completeness"": 100.0}, ""current_weights"": {""context"": 0.3, ""structure"": 0.3, ""technical"": 0.4}, ""empirical_weights"": {""context"": 0.2, ""structure"": 0.07, ""technical"": 0.73}}",,,
29,2026-07-05 01:07:58.461947,2026-07-05T01:07:58.461947+00:00,ETHUSDT,0979ffc8-3dbc-4daa-9d68-b05fd9d97ef1,59.40,SHORT,trend_following,asian,44.00,54.00,50.00,APPROVED,54.62,-4.78,0.80,f,f,0.00,f,,f,,f,REDUCED,59.40,0.80,84.62,f,"{""kelly"": {""mult"": 0.8, ""vetoed"": false}, ""crowding"": {""detail"": {}, ""crowded_symbols"": []}, ""data_quality"": {""gated"": false, ""score"": 84.62, ""outlier"": 100.0, ""freshness"": 61.55, ""completeness"": 100.0}, ""current_weights"": {""context"": 0.3, ""structure"": 0.3, ""technical"": 0.4}, ""empirical_weights"": {""context"": 0.2, ""structure"": 0.07, ""technical"": 0.73}}",,,
30,2026-07-05 01:23:05.641584,2026-07-05T01:23:05.641584+00:00,ETHUSDT,2e3f37f0-6e54-40a2-ac27-19446688594d,54.40,SHORT,trend_following,asian,44.00,59.00,50.00,APPROVED,50.04,-4.36,0.50,f,f,0.00,f,,f,,f,REDUCED,54.40,0.50,84.54,f,"{""kelly"": {""mult"": 0.5, ""vetoed"": false}, ""crowding"": {""detail"": {}, ""crowded_symbols"": []}, ""data_quality"": {""gated"": false, ""score"": 84.54, ""outlier"": 100.0, ""freshness"": 61.34, ""completeness"": 100.0}, ""current_weights"": {""context"": 0.3, ""structure"": 0.3, ""technical"": 0.4}, ""empirical_weights"": {""context"": 0.2, ""structure"": 0.07, ""technical"": 0.73}}",,,
31,2026-07-05 01:38:12.92799,2026-07-05T01:38:12.927990+00:00,ETHUSDT,3f88bc9e-804b-4a85-900c-6c2a5dc0cc20,54.40,SHORT,trend_following,asian,44.00,59.00,50.00,APPROVED,50.04,-4.36,0.50,f,f,0.00,f,,f,,f,REDUCED,54.40,0.50,74.46,f,"{""kelly"": {""mult"": 0.5, ""vetoed"": false}, ""crowding"": {""detail"": {}, ""crowded_symbols"": []}, ""data_quality"": {""gated"": false, ""score"": 74.46, ""outlier"": 100.0, ""freshness"": 36.14, ""completeness"": 100.0}, ""current_weights"": {""context"": 0.3, ""structure"": 0.3, ""technical"": 0.4}, ""empirical_weights"": {""context"": 0.2, ""structure"": 0.07, ""technical"": 0.73}}",,,
32,2026-07-05 01:53:20.140383,2026-07-05T01:53:20.140383+00:00,ETHUSDT,264cc992-6a3f-44a5-bc84-572ed20663a6,63.90,SHORT,trend_following,asian,44.00,76.50,50.00,APPROVED,61.02,-2.88,1.00,f,f,0.00,f,,f,,f,SAME,63.90,1.00,84.38,f,"{""kelly"": {""mult"": 1.0, ""vetoed"": false}, ""crowding"": {""detail"": {}, ""crowded_symbols"": []}, ""data_quality"": {""gated"": false, ""score"": 84.38, ""outlier"": 100.0, ""freshness"": 60.96, ""completeness"": 100.0}, ""current_weights"": {""context"": 0.3, ""structure"": 0.3, ""technical"": 0.4}, ""empirical_weights"": {""context"": 0.2, ""structure"": 0.07, ""technical"": 0.73}}",,,
40,2026-07-05 05:23:24.27897,2026-07-05T05:23:24.278970+00:00,ETHUSDT,5fb5949d-a21c-43d7-a6e2-e14014e46646,68.90,LONG,trend_following,asian,59.00,73.00,50.00,APPROVED,78.75,9.85,0.23,f,f,0.00,f,,f,,f,REDUCED,68.90,0.23,84.31,f,"{""kelly"": {""mult"": 0.23, ""vetoed"": false}, ""crowding"": {""detail"": {}, ""crowded_symbols"": []}, ""data_quality"": {""gated"": false, ""score"": 84.31, ""outlier"": 100.0, ""freshness"": 60.78, ""completeness"": 100.0}, ""current_weights"": {""context"": 0.3, ""structure"": 0.3, ""technical"": 0.4}, ""empirical_weights"": {""context"": 0.2, ""structure"": 0.07, ""technical"": 0.73}}",,,
41,2026-07-05 05:38:35.692284,2026-07-05T05:38:35.692284+00:00,ETHUSDT,017ca2b9-c149-41e7-a3f0-030bf4ba6b95,68.90,LONG,trend_following,asian,59.00,73.00,50.00,APPROVED,78.75,9.85,0.23,f,f,0.00,f,,f,,f,REDUCED,68.90,0.23,74.08,f,"{""kelly"": {""mult"": 0.23, ""vetoed"": false}, ""crowding"": {""detail"": {}, ""crowded_symbols"": []}, ""data_quality"": {""gated"": false, ""score"": 74.08, ""outlier"": 100.0, ""freshness"": 35.21, ""completeness"": 100.0}, ""current_weights"": {""context"": 0.3, ""structure"": 0.3, ""technical"": 0.4}, ""empirical_weights"": {""context"": 0.2, ""structure"": 0.07, ""technical"": 0.73}}",,,
44,2026-07-05 06:09:06.048648,2026-07-05T06:09:06.048648+00:00,BTCUSDT,c063d9d4-116d-47d2-a275-08c5502a1074,73.00,LONG,trend_following,asian,35.75,54.00,75.00,APPROVED,36.85,-36.15,1.50,f,t,-10.00,f,,f,,f,BOOSTED,63.00,1.50,73.87,f,"{""kelly"": {""mult"": 1.5, ""vetoed"": false}, ""crowding"": {""detail"": {""cluster_size"": 2}, ""crowded_symbols"": [""SOLUSDT"", ""BTCUSDT""]}, ""data_quality"": {""gated"": false, ""score"": 73.87, ""outlier"": 100.0, ""freshness"": 34.67, ""completeness"": 100.0}, ""current_weights"": {""context"": 0.3, ""structure"": 0.3, ""technical"": 0.4}, ""empirical_weights"": {""context"": 0.2, ""structure"": 0.07, ""technical"": 0.73}}",,,
42,2026-07-05 05:53:58.117267,2026-07-05T05:53:58.117267+00:00,BTCUSDT,55a725fb-59ff-4691-a400-891b1d2e6c5f,73.00,LONG,trend_following,asian,35.75,54.00,75.00,APPROVED,36.85,-36.15,1.50,f,t,-10.00,f,,f,,f,BOOSTED,63.00,1.50,83.96,f,"{""kelly"": {""mult"": 1.5, ""vetoed"": false}, ""crowding"": {""detail"": {""cluster_size"": 2}, ""crowded_symbols"": [""SOLUSDT"", ""BTCUSDT""]}, ""data_quality"": {""gated"": false, ""score"": 83.96, ""outlier"": 100.0, ""freshness"": 59.9, ""completeness"": 100.0}, ""current_weights"": {""context"": 0.3, ""structure"": 0.3, ""technical"": 0.4}, ""empirical_weights"": {""context"": 0.2, ""structure"": 0.07, ""technical"": 0.73}}",-26.23,f,2026-07-06 14:24:59.527935
45,2026-07-05 06:09:06.048648,2026-07-05T06:09:06.048648+00:00,SOLUSDT,6a1e811c-232d-4acd-badc-74529f1551bf,78.00,LONG,trend_following,asian,56.00,64.50,75.00,APPROVED,60.47,-17.53,2.00,f,t,-10.00,f,,f,,f,BOOSTED,68.00,2.00,73.87,f,"{""kelly"": {""mult"": 2.0, ""vetoed"": false}, ""crowding"": {""detail"": {""cluster_size"": 2}, ""crowded_symbols"": [""SOLUSDT"", ""BTCUSDT""]}, ""data_quality"": {""gated"": false, ""score"": 73.87, ""outlier"": 100.0, ""freshness"": 34.67, ""completeness"": 100.0}, ""current_weights"": {""context"": 0.3, ""structure"": 0.3, ""technical"": 0.4}, ""empirical_weights"": {""context"": 0.2, ""structure"": 0.07, ""technical"": 0.73}}",,,
46,2026-07-05 06:24:12.160931,2026-07-05T06:24:12.160931+00:00,BTCUSDT,c486aa07-7bec-43a4-940b-386420cc1890,73.00,LONG,trend_following,asian,30.50,54.00,75.00,APPROVED,32.25,-40.75,1.50,f,f,0.00,f,,f,,f,BOOSTED,73.00,1.50,83.81,f,"{""kelly"": {""mult"": 1.5, ""vetoed"": false}, ""crowding"": {""detail"": {""cluster_size"": 0}, ""crowded_symbols"": []}, ""data_quality"": {""gated"": false, ""score"": 83.81, ""outlier"": 100.0, ""freshness"": 59.51, ""completeness"": 100.0}, ""current_weights"": {""context"": 0.3, ""structure"": 0.3, ""technical"": 0.4}, ""empirical_weights"": {""context"": 0.2, ""structure"": 0.07, ""technical"": 0.73}}",,,
47,2026-07-05 06:24:12.160931,2026-07-05T06:24:12.160931+00:00,ETHUSDT,5483858f-5c69-4a1d-8799-cc49b655ea4d,51.04,LONG,trend_following,asian,33.50,76.00,50.00,APPROVED,42.04,-9.00,0.50,f,f,0.00,f,,f,,f,REDUCED,51.04,0.50,83.81,f,"{""kelly"": {""mult"": 0.5, ""vetoed"": false}, ""crowding"": {""detail"": {""cluster_size"": 0}, ""crowded_symbols"": []}, ""data_quality"": {""gated"": false, ""score"": 83.81, ""outlier"": 100.0, ""freshness"": 59.51, ""completeness"": 100.0}, ""current_weights"": {""context"": 0.3, ""structure"": 0.3, ""technical"": 0.4}, ""empirical_weights"": {""context"": 0.2, ""structure"": 0.07, ""technical"": 0.73}}",,,
48,2026-07-05 06:24:12.160931,2026-07-05T06:24:12.160931+00:00,SOLUSDT,02ca4a1e-b0cb-47de-b785-31d3ef96d49a,73.00,LONG,trend_following,asian,35.75,59.50,75.00,APPROVED,37.32,-35.68,1.50,f,f,0.00,f,,f,,f,BOOSTED,73.00,1.50,83.80,f,"{""kelly"": {""mult"": 1.5, ""vetoed"": false}, ""crowding"": {""detail"": {""cluster_size"": 0}, ""crowded_symbols"": []}, ""data_quality"": {""gated"": false, ""score"": 83.8, ""outlier"": 100.0, ""freshness"": 59.51, ""completeness"": 100.0}, ""current_weights"": {""context"": 0.3, ""structure"": 0.3, ""technical"": 0.4}, ""empirical_weights"": {""context"": 0.2, ""structure"": 0.07, ""technical"": 0.73}}",,,
49,2026-07-05 06:24:12.160931,2026-07-05T06:24:12.160931+00:00,XRPUSDT,0dfa06ad-015d-4322-a612-d9a3b8ab6ab1,78.00,LONG,trend_following,asian,41.00,55.00,75.00,APPROVED,46.54,-31.46,2.00,f,f,0.00,f,,f,,f,BOOSTED,78.00,2.00,83.80,f,"{""kelly"": {""mult"": 2.0, ""vetoed"": false}, ""crowding"": {""detail"": {""cluster_size"": 0}, ""crowded_symbols"": []}, ""data_quality"": {""gated"": false, ""score"": 83.8, ""outlier"": 100.0, ""freshness"": 59.51, ""completeness"": 100.0}, ""current_weights"": {""context"": 0.3, ""structure"": 0.3, ""technical"": 0.4}, ""empirical_weights"": {""context"": 0.2, ""structure"": 0.07, ""technical"": 0.73}}",,,
50,2026-07-05 06:39:17.77582,2026-07-05T06:39:17.775820+00:00,ETHUSDT,d3710379-eb4d-470c-824f-8349b592cf27,51.04,LONG,trend_following,asian,33.50,80.00,50.00,APPROVED,42.29,-8.75,0.50,f,f,0.00,f,,f,,f,REDUCED,51.04,0.50,83.75,f,"{""kelly"": {""mult"": 0.5, ""vetoed"": false}, ""crowding"": {""detail"": {}, ""crowded_symbols"": []}, ""data_quality"": {""gated"": false, ""score"": 83.75, ""outlier"": 100.0, ""freshness"": 59.37, ""completeness"": 100.0}, ""current_weights"": {""context"": 0.3, ""structure"": 0.3, ""technical"": 0.4}, ""empirical_weights"": {""context"": 0.2, ""structure"": 0.07, ""technical"": 0.73}}",,,
51,2026-07-05 07:24:38.42408,2026-07-05T07:24:38.424080+00:00,BTCUSDT,5e9fc527-522d-4b4c-8e98-8218994bea8e,71.04,LONG,mean_reversion,london,13.00,54.00,95.00,APPROVED,14.82,-56.22,0.75,f,f,0.00,f,,f,,f,REDUCED,71.04,0.75,83.51,f,"{""kelly"": {""mult"": 0.75, ""vetoed"": false}, ""crowding"": {""detail"": {}, ""crowded_symbols"": []}, ""data_quality"": {""gated"": false, ""score"": 83.51, ""outlier"": 100.0, ""freshness"": 58.78, ""completeness"": 100.0}, ""current_weights"": {""context"": 0.3, ""structure"": 0.3, ""technical"": 0.4}, ""empirical_weights"": {""context"": 0.2, ""structure"": 0.07, ""technical"": 0.73}}",,,
52,2026-07-05 07:39:45.472568,2026-07-05T07:39:45.472568+00:00,BTCUSDT,52d03707-a88f-446c-bc45-7a39acc4783e,68.04,LONG,mean_reversion,london,13.00,54.00,95.00,APPROVED,14.82,-53.22,0.12,f,f,0.00,f,,f,,f,REDUCED,68.04,0.12,83.44,f,"{""kelly"": {""mult"": 0.115, ""vetoed"": false}, ""crowding"": {""detail"": {}, ""crowded_symbols"": []}, ""data_quality"": {""gated"": false, ""score"": 83.44, ""outlier"": 100.0, ""freshness"": 58.6, ""completeness"": 100.0}, ""current_weights"": {""context"": 0.3, ""structure"": 0.3, ""technical"": 0.4}, ""empirical_weights"": {""context"": 0.2, ""structure"": 0.07, ""technical"": 0.73}}",,,
53,2026-07-05 07:54:51.519698,2026-07-05T07:54:51.519698+00:00,BTCUSDT,47c9453c-1b49-4a1e-b544-553d8c732baa,68.04,LONG,mean_reversion,london,13.00,54.00,95.00,APPROVED,14.82,-53.22,0.12,f,f,0.00,f,,f,,f,REDUCED,68.04,0.12,93.36,f,"{""kelly"": {""mult"": 0.115, ""vetoed"": false}, ""crowding"": {""detail"": {}, ""crowded_symbols"": []}, ""data_quality"": {""gated"": false, ""score"": 93.36, ""outlier"": 100.0, ""freshness"": 83.41, ""completeness"": 100.0}, ""current_weights"": {""context"": 0.3, ""structure"": 0.3, ""technical"": 0.4}, ""empirical_weights"": {""context"": 0.2, ""structure"": 0.07, ""technical"": 0.73}}",,,
54,2026-07-05 08:09:58.543999,2026-07-05T08:09:58.543999+00:00,BTCUSDT,0f3c69c5-e25c-4325-8afb-fbe7ecd05974,76.99,LONG,mean_reversion,london,13.00,74.25,95.00,APPROVED,24.98,-52.01,1.00,f,t,-10.00,f,,f,,f,SAME,66.99,1.00,83.29,f,"{""kelly"": {""mult"": 1.0, ""vetoed"": false}, ""crowding"": {""detail"": {""cluster_size"": 2}, ""crowded_symbols"": [""SOLUSDT"", ""BTCUSDT""]}, ""data_quality"": {""gated"": false, ""score"": 83.29, ""outlier"": 100.0, ""freshness"": 58.23, ""completeness"": 100.0}, ""current_weights"": {""context"": 0.3, ""structure"": 0.3, ""technical"": 0.4}, ""empirical_weights"": {""context"": 0.2, ""structure"": 0.07, ""technical"": 0.73}}",,,
55,2026-07-05 08:09:58.543999,2026-07-05T08:09:58.543999+00:00,SOLUSDT,56dd0a52-5f6c-47d8-8754-7d6e4b2b4a1c,78.78,LONG,mean_reversion,london,28.00,69.50,95.00,APPROVED,35.32,-43.46,1.00,f,t,-10.00,f,,f,,f,SAME,68.78,1.00,83.29,f,"{""kelly"": {""mult"": 1.0, ""vetoed"": false}, ""crowding"": {""detail"": {""cluster_size"": 2}, ""crowded_symbols"": [""SOLUSDT"", ""BTCUSDT""]}, ""data_quality"": {""gated"": false, ""score"": 83.29, ""outlier"": 100.0, ""freshness"": 58.23, ""completeness"": 100.0}, ""current_weights"": {""context"": 0.3, ""structure"": 0.3, ""technical"": 0.4}, ""empirical_weights"": {""context"": 0.2, ""structure"": 0.07, ""technical"": 0.73}}",,,
